date,WPU012202,DCOILWTICO,US_Corn_Futures
2010-08-01,-0.8297166566130301,,
2010-08-02,-0.8297166566130301,,
2010-08-03,-0.8297166566130301,,
2010-08-04,-0.8297166566130301,,
2010-08-05,-0.8297166566130301,,
2010-08-06,-0.8297166566130301,,
2010-08-07,-0.8297166566130301,,
2010-08-08,-0.8297166566130301,,
2010-08-09,-0.8297166566130301,,
2010-08-10,-0.8297166566130301,,
2010-08-11,-0.8297166566130301,,
2010-08-12,-0.8297166566130301,,
2010-08-13,-0.8297166566130301,,
2010-08-14,-0.8297166566130301,,
2010-08-15,-0.8297166566130301,,
2010-08-16,-0.8297166566130301,,
2010-08-17,-0.8297166566130301,,
2010-08-18,-0.8297166566130301,,
2010-08-19,-0.8297166566130301,,
2010-08-20,-0.8297166566130301,,
2010-08-21,-0.8297166566130301,,
2010-08-22,-0.8297166566130301,,
2010-08-23,-0.8297166566130301,,
2010-08-24,-0.8297166566130301,,
2010-08-25,-0.8297166566130301,,
2010-08-26,-0.8297166566130301,,
2010-08-27,-0.8297166566130301,,
2010-08-28,-0.8297166566130301,,
2010-08-29,-0.8297166566130301,,
2010-08-30,-0.8297166566130301,0.1452668145935127,-0.3355248905323667
2010-08-31,-0.8297166566130301,0.01620869715103108,-0.35205588409956207
2010-09-01,-0.37347947382072444,0.11159947960851745,-0.29695257220891097
2010-09-02,-0.37347947382072444,0.15929487083726063,-0.29144224101984584
2010-09-03,-0.37347947382072444,0.1373175827220554,-0.16654140073437002
2010-09-04,-0.37347947382072444,0.1373175827220554,-0.16654140073437002
2010-09-05,-0.37347947382072444,0.1373175827220554,-0.16007594547253365
2010-09-06,-0.37347947382072444,0.1373175827220554,-0.18490917136458704
2010-09-07,-0.37347947382072444,0.1120670814833093,-0.15368396129321807
2010-09-08,-0.37347947382072444,0.14339640709434667,-0.18123561723854362
2010-09-09,-0.37347947382072444,0.12469233210268235,-0.12062197415882742
2010-09-10,-0.37347947382072444,0.22522673518287697,-0.06551866226817632
2010-09-11,-0.37347947382072444,0.22522673518287697,-0.06551866226817632
2010-09-12,-0.37347947382072444,0.22522673518287697,-0.06551866226817632
2010-09-13,-0.37347947382072444,0.2612320795418301,-0.026946343944720542
2010-09-14,-0.37347947382072444,0.24299560642495763,0.05754540095427781
2010-09-15,-0.37347947382072444,0.2027818451928799,0.1567313623574498
2010-09-16,-0.37347947382072444,0.1401231939708051,0.15856813942047152
2010-09-17,-0.37347947382072444,0.09570101586560284,0.2834689797059473
2010-09-18,-0.37347947382072444,0.09570101586560284,0.2834689797059473
2010-09-19,-0.37347947382072444,0.09570101586560284,0.2834689797059473
2010-09-20,-0.37347947382072444,0.15087803709101213,0.2504069925715567
2010-09-21,-0.37347947382072444,0.06437169025456545,0.22652889075227453
2010-09-22,-0.37347947382072444,0.06530689400414913,0.22836566781529624
2010-09-23,-0.37347947382072444,0.08494617274539647,0.18428301830277535
2010-09-24,-0.37347947382072444,0.142461203344763,0.34591939984868525
2010-09-25,-0.37347947382072444,0.142461203344763,0.34591939984868525
2010-09-26,-0.37347947382072444,0.142461203344763,0.34591939984868525
2010-09-27,-0.37347947382072444,0.23037035580558457,0.27979542557990394
2010-09-28,-0.37347947382072444,0.21353668831308692,0.18611979536579706
2010-09-29,-0.37347947382072444,0.29302900702765866,0.22101855956320943
2010-09-30,-0.37347947382072444,0.39122540073389545,0.1548945852944281
2010-10-01,0.11965924581507639,0.46697690445013446,-0.06551866226817632
2010-10-02,0.11965924581507639,0.46697690445013446,-0.06551866226817632
2010-10-03,0.11965924581507639,0.46697690445013446,-0.06551866226817632
2010-10-04,0.11965924581507639,0.46043047820305266,-0.03061989807076395
2010-10-05,0.11965924581507639,0.5258947406738765,0.10713838165586381
2010-10-06,0.11965924581507639,0.5436636119159571,0.08877061102564678
2010-10-07,0.11965924581507639,0.4562220613299281,0.149384254105363
2010-10-08,0.11965924581507639,0.5179455088024192,0.3697975016679674
2010-10-09,0.11965924581507639,0.5179455088024192,0.3697975016679674
2010-10-10,0.11965924581507639,0.5179455088024192,0.3697975016679674
2010-10-11,0.11965924581507639,0.4955006188124228,0.5718429786003548
2010-10-12,0.11965924581507639,0.47165292319805086,0.7463367995874166
2010-10-13,0.11965924581507639,0.5352467781697087,0.6838863794446787
2010-10-14,0.11965924581507639,0.5202835181763771,0.6710289400035268
2010-10-15,0.11965924581507639,0.4510784407072205,0.6453140611212229
2010-10-16,0.11965924581507639,0.4510784407072205,0.6453140611212229
2010-10-17,0.11965924581507639,0.4510784407072205,0.6453140611212229
2010-10-18,0.11965924581507639,0.5366495837940836,0.6030681886717237
2010-10-19,0.11965924581507639,0.3734565294918141,0.520413220835747
2010-10-20,0.11965924581507639,0.4838105719426327,0.7224586977681344
2010-10-21,0.11965924581507639,0.3949662157322282,0.650824392310288
2010-10-22,0.11965924581507639,0.44733762570888774,0.6251095134279842
2010-10-23,0.11965924581507639,0.44733762570888774,0.6251095134279842
2010-10-24,0.11965924581507639,0.44733762570888774,0.6251095134279842
2010-10-25,0.11965924581507639,0.4870837850661736,0.6930702647597872
2010-10-26,0.11965924581507639,0.5151398975536695,0.7114380353900043
2010-10-27,0.11965924581507639,0.4824077663182579,0.7573574619655469
2010-10-28,0.11965924581507639,0.4964358225620058,0.7702149014066988
2010-10-29,0.11965924581507639,0.46136568195263566,0.7922562261629592
2010-10-30,0.11965924581507639,0.46136568195263566,0.7922562261629592
2010-10-31,0.11965924581507639,0.46136568195263566,0.7922562261629592
2010-11-01,0.22365448601038113,0.5310383612965841,0.7591942390285685
2010-11-02,0.22365448601038113,0.5763957431513694,0.75001035371346
2010-11-03,0.22365448601038113,0.6016462443901162,0.7885826720369158
2010-11-04,0.22365448601038113,0.6970370268476025,0.8565434233687188
2010-11-05,0.22365448601038113,0.7138706943401002,0.8418492068645452
2010-11-06,0.22365448601038113,0.7138706943401002,0.8418492068645452
2010-11-07,0.22365448601038113,0.7138706943401002,0.8418492068645452
2010-11-08,0.22365448601038113,0.7241579355855153,0.8234814362343281
2010-11-09,0.22365448601038113,0.7227551299611412,0.7573574619655469
2010-11-10,0.22365448601038113,0.7568900668209276,0.6893967106337437
2010-11-11,0.22365448601038113,0.7568900668209276,0.6673553858774833
2010-11-12,0.22365448601038113,0.6222207268809465,0.44694213831487895
2010-11-13,0.22365448601038113,0.6222207268809465,0.44694213831487895
2010-11-14,0.22365448601038113,0.6222207268809465,0.44694213831487895
2010-11-15,0.22365448601038113,0.6217531250061546,0.6012314116087021
2010-11-16,0.22365448601038113,0.5025146469342964,0.3881652722981844
2010-11-17,0.22365448601038113,0.4136702907238925,0.3826549411091193
